lat,lng
39.6066895216,-104.958489931
39.6066895216,-104.958489931
39.6377412341,-104.958554156
39.7304174328,-104.968940153
39.7304174328,-104.968940153
39.7304174328,-104.968940153
39.693101972,-105.006995274
39.693101972,-105.006995274
39.693101972,-105.006995274
39.693101972,-105.006995274
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7581667847,-105.051016024
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7534018839,-105.058477406
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.7522045323,-105.061677179
39.6588364948,-105.008262693
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7508279317,-105.084246401
39.7897248502,-105.14207177
39.7897248502,-105.14207177
39.8234819597,-105.006585312
39.8234819597,-105.006585312
39.7291191381,-104.973191162
39.7291191381,-104.973191162
39.6363871842,-104.953857187
39.6108395811,-104.959204995
39.6108395811,-104.959204995
39.610484932,-104.958663006
39.8172747453,-105.219606285
39.8193896068,-105.216084332
39.8193896068,-105.216084332
39.8193896068,-105.216084332
39.8193896068,-105.216084332
39.8193896068,-105.216084332
39.8193896068,-105.216084332
39.8193896068,-105.216084332
39.6132883894,-104.957669814
39.8069125771,-105.213851735
39.8069125771,-105.213851735
39.8069125771,-105.213851735
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8238024684,-105.054020547
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8274557467,-105.052630536
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
39.8165356897,-105.037957856
